C:\Users\30264\.conda\envs\pytorch\python.exe C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py 
开始训练，使用设备: cuda
Epoch [182/200] | Train Loss: 0.0028 | Train Acc: 99.98% | Test Loss: 0.2078 | Test Acc: 94.85%
Epoch [183/200] | Train Loss: 0.0025 | Train Acc: 99.99% | Test Loss: 0.2058 | Test Acc: 94.86%
Epoch [184/200] | Train Loss: 0.0026 | Train Acc: 99.99% | Test Loss: 0.2087 | Test Acc: 94.95%
Epoch [185/200] | Train Loss: 0.0028 | Train Acc: 99.98% | Test Loss: 0.2098 | Test Acc: 94.88%
Epoch [186/200] | Train Loss: 0.0028 | Train Acc: 99.98% | Test Loss: 0.2090 | Test Acc: 94.96%
Epoch [187/200] | Train Loss: 0.0025 | Train Acc: 99.99% | Test Loss: 0.2097 | Test Acc: 94.88%
Epoch [188/200] | Train Loss: 0.0024 | Train Acc: 99.98% | Test Loss: 0.2111 | Test Acc: 95.02%
Epoch [189/200] | Train Loss: 0.0026 | Train Acc: 99.99% | Test Loss: 0.2120 | Test Acc: 94.85%
Epoch [190/200] | Train Loss: 0.0027 | Train Acc: 99.98% | Test Loss: 0.2109 | Test Acc: 94.84%
Epoch [191/200] | Train Loss: 0.0025 | Train Acc: 99.99% | Test Loss: 0.2121 | Test Acc: 94.88%
Epoch [192/200] | Train Loss: 0.0024 | Train Acc: 100.00% | Test Loss: 0.2106 | Test Acc: 94.85%
Epoch [193/200] | Train Loss: 0.0027 | Train Acc: 99.98% | Test Loss: 0.2104 | Test Acc: 94.81%
Epoch [194/200] | Train Loss: 0.0025 | Train Acc: 100.00% | Test Loss: 0.2077 | Test Acc: 94.89%
Epoch [195/200] | Train Loss: 0.0024 | Train Acc: 99.99% | Test Loss: 0.2075 | Test Acc: 94.89%
Epoch [196/200] | Train Loss: 0.0026 | Train Acc: 99.99% | Test Loss: 0.2075 | Test Acc: 94.93%
Epoch [197/200] | Train Loss: 0.0025 | Train Acc: 99.99% | Test Loss: 0.2084 | Test Acc: 94.82%
Epoch [198/200] | Train Loss: 0.0024 | Train Acc: 99.99% | Test Loss: 0.2072 | Test Acc: 94.80%
Epoch [199/200] | Train Loss: 0.0025 | Train Acc: 99.99% | Test Loss: 0.2086 | Test Acc: 94.90%
Epoch [200/200] | Train Loss: 0.0026 | Train Acc: 99.98% | Test Loss: 0.2081 | Test Acc: 94.96%
训练完成! 总耗时: 90分2秒
最佳测试准确率: 95.02%
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 35757 (\N{CJK UNIFIED IDEOGRAPH-8BAD}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 32451 (\N{CJK UNIFIED IDEOGRAPH-7EC3}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 36718 (\N{CJK UNIFIED IDEOGRAPH-8F6E}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 27425 (\N{CJK UNIFIED IDEOGRAPH-6B21}) missing from current font.
  plt.tight_layout()
